"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\Profile.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 0, 0, 0, 0, 7, 101
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\ChangePersonalDetails.jsx", "JavaScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 0, 9, 118
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\CheckOrders.jsx", "JavaScript JSX", 0, 0, 118, 0, 0, 0, 0, 0, 0, 12, 130
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\Comments.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\SelectStatus\SelectStatus.jsx", "JavaScript JSX", 0, 0, 62, 0, 0, 0, 0, 0, 0, 8, 70
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\SelectStatus\data.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 0, 0, 6, 109
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\VerifyEmailPanel.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 7, 86
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Register\Register.jsx", "JavaScript JSX", 0, 0, 145, 0, 0, 0, 0, 0, 0, 7, 152
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\Shop.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\FilterByDorpdown.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 1, 7, 71
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\FilterByMaterials.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 1, 7, 68
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\ShopSection1.jsx", "JavaScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 1, 7, 101
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\SortByDropdown.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 2, 8, 73
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\useAdminAccess.jsx", "JavaScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 1, 9, 46
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\verifyJWT.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 4, 7, 45
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\verifyUser.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 9, 64
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\tailwind.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\vite.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\README.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 0, 18, 54
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\app.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 11, 15, 68
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\config\database.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\config\passport.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\generateKeypair.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 9, 6, 33
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\algoliaSearch.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\authMiddleware.cjs", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\email.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 0, 9, 16, 139
